# Parameters for CFA in order red, green, blue
# -35.0077	-44.1774	22.9231	20.9813	4.04281	-7.25622
# 25.6259	-16.6805	-39.6175	2.0237	16.2731	-4.55676
# 37.3915	32.2064	-50	-49.0131	25.8976	-3.4397
# Lambda	Red	Green	Blue
542	0.0439553	0.300333	0.0250653
543	0.0453493	0.29776	0.024138
544	0.0467985	0.294988	0.023251
545	0.048305	0.292024	0.0224025
546	0.0498711	0.288872	0.0215906
547	0.051499	0.285537	0.0208137
548	0.0531908	0.282025	0.0200702
549	0.0549489	0.278343	0.0193585
550	0.0567755	0.274497	0.0186771
551	0.058673	0.270496	0.0180246
552	0.0606436	0.266346	0.0173998
553	0.0626897	0.262056	0.0168012
554	0.0648133	0.257635	0.0162277
555	0.0670169	0.253092	0.0156781
556	0.0693024	0.248436	0.0151514
557	0.0716718	0.243677	0.0146464
558	0.0741272	0.238824	0.0141621
559	0.0766703	0.233888	0.0136977
560	0.0793027	0.22888	0.0132521
561	0.0820258	0.223809	0.0128246
562	0.0848408	0.218686	0.0124143
563	0.0877485	0.213523	0.0120204
564	0.0907498	0.208329	0.0116422
565	0.0938447	0.203116	0.011279
566	0.0970332	0.197892	0.0109301
567	0.100315	0.192669	0.0105948
568	0.103689	0.187457	0.0102726
569	0.107153	0.182265	0.0099629
570	0.110706	0.177101	0.00966509
571	0.114345	0.171976	0.00937867
572	0.118066	0.166898	0.00910315
573	0.121866	0.161874	0.00883805
574	0.12574	0.156912	0.00858291
575	0.129683	0.152019	0.00833731
576	0.133688	0.147201	0.00810084
577	0.137749	0.142464	0.0078731
578	0.141858	0.137813	0.00765372
579	0.146005	0.133254	0.00744234
580	0.150183	0.128789	0.00723863
581	0.15438	0.124424	0.00704227
582	0.158586	0.12016	0.00685295
583	0.162789	0.116	0.00667037
584	0.166976	0.111947	0.00649427
585	0.171135	0.108002	0.00632436
586	0.175251	0.104166	0.0061604
587	0.17931	0.100439	0.00600214
588	0.183297	0.0968227	0.00584936
589	0.187198	0.0933158	0.00570184
590	0.190995	0.0899181	0.00555935
591	0.194675	0.0866289	0.00542171
592	0.19822	0.0834471	0.00528872
593	0.201615	0.0803713	0.0051602
594	0.204843	0.0774	0.00503597
595	0.207889	0.0745314	0.00491587
596	0.210738	0.0717635	0.00479973
597	0.213375	0.0690943	0.0046874
598	0.215784	0.0665215	0.00457874
599	0.217951	0.0640428	0.00447361
600	0.219864	0.0616558	0.00437188
601	0.22151	0.059358	0.00427341
602	0.222877	0.0571468	0.00417808
603	0.223954	0.0550198	0.00408578
604	0.224733	0.0529742	0.0039964
605	0.225204	0.0510076	0.00390982
606	0.22536	0.0491173	0.00382595
607	0.225195	0.0473008	0.00374469
608	0.224706	0.0455556	0.00366594
609	0.223889	0.043879	0.00358961
610	0.222743	0.0422687	0.00351562
611	0.221267	0.0407222	0.00344388
612	0.219465	0.0392372	0.00337432
613	0.217339	0.0378113	0.00330686
614	0.214896	0.0364423	0.00324142
615	0.212141	0.0351279	0.00317793
616	0.209085	0.0338661	0.00311634
617	0.205739	0.0326547	0.00305657
618	0.202114	0.0314917	0.00299855
619	0.198226	0.0303752	0.00294224
620	0.19409	0.0293033	0.00288758
621	0.189723	0.0282742	0.00283451
622	0.185146	0.0272861	0.00278297
623	0.180377	0.0263373	0.00273292
624	0.175439	0.0254262	0.00268431
625	0.170353	0.0245512	0.00263709
626	0.165143	0.0237109	0.00259122
627	0.159831	0.0229038	0.00254665
628	0.154442	0.0221284	0.00250334
629	0.149	0.0213835	0.00246126
630	0.143526	0.0206678	0.00242036
631	0.138044	0.01998	0.00238061
632	0.132576	0.019319	0.00234197
633	0.127142	0.0186836	0.00230441
634	0.121763	0.0180728	0.00226789
635	0.116457	0.0174856	0.00223239
636	0.111239	0.0169208	0.00219787
637	0.106126	0.0163777	0.00216431
